RegionName,State_x,2008-01,2016-12,HouseValueChange,County,State_y,Abbreviation,Total,White,Black,Asian,Others,White %,Black %,Asian %,Others %,HouseValueChange %
Los Angeles,CA,503500.0,549400,45900.0,Los Angeles,California,CA,225018,375865,-36658,159399,-273588,1.6703774809126382,-0.16291141153152192,0.7083833293336533,-1.2158493987147694,0.09116186693147964
Cook,IL,256600.0,205400,-51200.0,Cook,Illinois,IL,-51163,172073,-92006,56962,-188192,-3.36323124132674,1.7982917342610871,-1.113343627230616,3.6782831342962687,-0.1995323460639127
Harris,TX,139700.0,169200,29500.0,Harris,Texas,TX,515931,464076,118672,78768,-145585,0.8994923739802415,0.2300152539777606,0.15267157817615146,-0.2821792061341536,0.21116678596993557
Maricopa,AZ,239000.0,236000,-3000.0,Maricopa,Arizona,AZ,226513,107111,51716,45936,21750,0.4728691068503795,0.2283136067245589,0.2027963074967,0.09602097892836173,-0.012552301255230125
San Diego,CA,462300.0,528700,66400.0,San Diego,California,CA,287413,196917,15477,74454,565,0.6851360237706715,0.053849338756423684,0.2590488252097156,0.0019658122631892086,0.14362967769846421
Orange,CA,579900.0,664800,84900.0,Orange,California,CA,146216,92940,572,121392,-68688,0.6356349510313509,0.003912020572303989,0.8302237785194507,-0.4697707501231056,0.1464045525090533
Kings,NY,511500.0,693900,182400.0,Kings,New York,NY,67235,18891,-12275,73322,-12703,0.2809697330259537,-0.18256860266230385,1.0905332044322154,-0.18893433479586524,0.35659824046920824
Miami-Dade,FL,301100.0,264000,-37100.0,Miami-Dade,Florida,FL,278542,266578,24113,6178,-18327,0.9570477701746952,0.08656863237859999,0.022179778992037102,-0.06579618154533247,-0.12321487877781467
Dallas,TX,131200.0,161000,29800.0,Dallas,Texas,TX,129319,116297,81719,38073,-106770,0.8993032733009071,0.6319179702905219,0.2944114940573311,-0.8256327376487601,0.22713414634146342
Queens,NY,494300.0,565200,70900.0,Queens,New York,NY,31529,-80228,-12550,84692,39615,-2.544578007548606,-0.3980462431412351,2.6861619461448187,1.256462304545022,0.1434351608335019
Riverside,CA,338600.0,335100,-3500.0,Riverside,California,CA,268660,164097,20137,35864,48562,0.6107980346906872,0.07495347279088811,0.13349214620710192,0.18075634631132287,-0.010336680448907265
San Bernardino,CA,319700.0,297700,-22000.0,San Bernardino,California,CA,107001,98777,4287,24244,-20307,0.9231409052251848,0.04006504612106429,0.22657732170727374,-0.18978327305352288,-0.0688145136065061
Clark,NV,259600.0,216700,-42900.0,Clark,Nevada,NV,248794,-10165,54039,65023,139897,-0.04085709462446844,0.21720379108820956,0.2613527657419391,0.5623005377943198,-0.1652542372881356
King,WA,428500.0,528600,100100.0,King,Washington,WA,228295,45994,21708,91266,69327,0.2014673996364353,0.09508749644100836,0.3997722245340459,0.30367287938851045,0.23360560093348892
Wayne,MI,99800.0,56300,-43500.0,Wayne,Michigan,MI,-212669,-100939,-112119,3996,-3607,0.4746295887035722,0.5271995448325802,-0.018789762494768863,0.01696062895861644,-0.43587174348697394
Tarrant,TX,139300.0,174100,34800.0,Tarrant,Texas,TX,240344,177150,71531,24792,-33129,0.7370685350996904,0.29761924574776155,0.10315214858702526,-0.13783992943447726,0.2498205312275664
Santa Clara,CA,713900.0,990600,276700.0,Santa Clara,California,CA,150300,-22262,3188,123090,46284,-0.1481170991350632,0.021210911510312708,0.8189620758483034,0.3079441117764471,0.3875892982210394
Broward,FL,249400.0,219200,-30200.0,Broward,Florida,FL,108934,-184,98906,13068,-2856,-0.0016890961499623626,0.9079442598270512,0.11996254612884864,-0.02621770980593754,-0.1210906174819567
Bexar,TX,134600.0,153200,18600.0,Bexar,Texas,TX,270563,349768,28282,17171,-124658,1.292741431755266,0.10453018335840453,0.06346396218256006,-0.4607355772962304,0.13818722139673106
New York,NY,1033700.0,1310700,277000.0,New York,New York,NY,10764,20030,-6734,18820,-21352,1.8608324043106648,-0.6256038647342995,1.7484206614641398,-1.9836492010405051,0.26796943020218633
Philadelphia,PA,119800.0,126600,6800.0,Philadelphia,Pennsylvania,PA,111027,27968,38839,28006,16214,0.2519026903365848,0.34981581056860045,0.25224494942671605,0.14603654966809876,0.05676126878130217
Alameda,CA,564200.0,749500,185300.0,Alameda,California,CA,148048,14518,-5710,94117,45123,0.09806279044634172,-0.03856857235491192,0.6357194963795526,0.3047862855290176,0.32842963488124777
Middlesex,MA,383000.0,478700,95700.0,Middlesex,Massachusetts,MA,95633,8962,20114,48301,18256,0.09371242144448046,0.21032488785251952,0.5050662428241297,0.19089644787887025,0.24986945169712793
Suffolk,NY,411800.0,357700,-54100.0,Suffolk,New York,NY,-12586,-56279,3541,5013,35139,4.471555696805975,-0.28134435086604165,-0.3982996980772287,-2.7919116478627046,-0.1313744536182613
Sacramento,CA,289400.0,320100,30700.0,Sacramento,California,CA,98592,24742,8105,38119,27626,0.2509534242129179,0.08220748133722817,0.3866338039597533,0.2802052904901006,0.10608154803040774
Bronx,NY,378100.0,347900,-30200.0,Bronx,New York,NY,53992,-4781,9200,4663,44910,-0.08855015557860424,0.1703956141650615,0.08636464661431323,0.8317898947992295,-0.0798730494578154
Nassau,NY,473000.0,467700,-5300.0,Nassau,New York,NY,3984,-71696,8829,25268,41583,-17.995983935742977,2.216114457831325,6.342369477911648,10.4375,-0.01120507399577167
Palm Beach,FL,249700.0,242800,-6900.0,Palm Beach,Florida,FL,136404,101582,57965,8183,-31326,0.7447142312542154,0.42495088120582974,0.05999090935749685,-0.22965602181754197,-0.0276331597917501
Cuyahoga,OH,122900.0,112700,-10200.0,Cuyahoga,Ohio,OH,-36973,-57909,2698,4869,13369,1.5662510480620997,-0.07297216887999351,-0.1316906932085576,-0.36158818597354825,-0.08299430431244914
Hillsborough,FL,197000.0,183800,-13200.0,Hillsborough,Florida,FL,153199,57235,34549,15250,46165,0.3735990443801853,0.2255171378403253,0.09954373070320302,0.3013400870762864,-0.06700507614213198
Allegheny,PA,108700.0,131900,23200.0,Allegheny,Pennsylvania,PA,11390,-15946,4088,12268,10980,-1.4,0.35891132572431955,1.0770851624231783,0.9640035118525022,0.21343146274149033
Oakland,MI,184400.0,216200,31800.0,Oakland,Michigan,MI,32173,-19999,28011,16851,7310,-0.6216081807726976,0.8706368694246729,0.5237621608180772,0.2272091505299475,0.17245119305856832
Franklin,OH,137900.0,150700,12800.0,Franklin,Ohio,OH,114416,24084,49995,12801,27536,0.21049503565934835,0.4369581177457698,0.11188120542581458,0.2406656411690673,0.09282088469905729
Hennepin,MN,232000.0,246500,14500.0,Hennepin,Minnesota,MN,76668,-1303,33437,21739,22795,-0.01699535660249387,0.4361271977878646,0.28354724265664943,0.29732091615797984,0.0625
Orange,FL,235500.0,206900,-28600.0,Orange,Florida,FL,192957,120150,56862,19696,-3751,0.622677591380463,0.29468741740387755,0.10207455547090803,-0.019439564255248582,-0.12144373673036093
Fairfax,VA,472600.0,508300,35700.0,Fairfax,Virginia,VA,126907,39059,13244,50476,24128,0.307776560788609,0.1043598855855075,0.3977400773794984,0.19012347624638515,0.07553956834532374
Contra Costa,CA,501400.0,558400,57000.0,Contra Costa,California,CA,91229,34777,3837,35894,16721,0.3812055377127887,0.042058994398710935,0.3934494513805917,0.18328601650790866,0.11368169126445951
Salt Lake,UT,264400.0,294700,30300.0,Salt Lake,Utah,UT,87541,11395,4031,10241,61874,0.13016757862030362,0.046046995122285564,0.11698518408517153,0.7068002421722392,0.11459909228441754
Travis,TX,218000.0,306200,88200.0,Travis,Texas,TX,179517,242089,13996,18680,-95248,1.3485575182294711,0.07796476099756569,0.10405699738743407,-0.530579276614471,0.40458715596330275
Pima,AZ,210600.0,176000,-34600.0,Pima,Arizona,AZ,9094,47589,2897,3088,-44480,5.2330107763360445,0.31856168902573123,0.33956454805366176,-4.891137013415438,-0.16429249762583095
Montgomery,MD,450000.0,426300,-23700.0,Montgomery,Maryland,MD,83624,-11233,31293,25948,37616,-0.13432746579929206,0.3742107528939061,0.3102936955897828,0.4498230173156032,-0.05266666666666667
Honolulu,HI,536200.0,639000,102800.0,Honolulu,Hawaii,HI,83768,4625,-4237,28128,55252,0.05521201413427562,-0.05058017381338936,0.33578454779868205,0.6595836118804317,0.19171950764640058
Westchester,NY,616400.0,573500,-42900.0,Westchester,New York,NY,18992,-8596,5750,2144,19694,-0.4526116259477675,0.3027590564448189,0.11288963774220726,1.0369629317607414,-0.06959766385463985
Milwaukee,WI,162400.0,139700,-22700.0,Milwaukee,Wisconsin,WI,3308,-17899,13455,8747,-995,-5.410822249093108,4.067412333736397,2.6441958887545343,-0.3007859733978235,-0.13977832512315272
Fresno,CA,237500.0,217400,-20100.0,Fresno,California,CA,67803,44322,2849,17807,2825,0.6536878899163754,0.042018789729068036,0.26262849726413284,0.041664823090423735,-0.08463157894736842
Shelby,TN,115700.0,108500,-7200.0,Shelby,Tennessee,TN,28475,-23701,37617,3447,11112,-0.8323441615452151,1.3210535557506584,0.12105355575065847,0.3902370500438981,-0.06222990492653414
Fulton,GA,222800.0,236100,13300.0,Fulton,Georgia,GA,6195,-28455,18267,22836,-6453,-4.59322033898305,2.9486682808716713,3.686198547215497,-1.0416464891041162,0.059694793536804305
Mecklenburg,NC,177300.0,196400,19100.0,Mecklenburg,North Carolina,NC,149643,44291,62991,20207,22154,0.2959777604030927,0.4209418415829673,0.13503471595731173,0.1480456820566281,0.10772701635645798
Erie,NY,120400.0,144600,24200.0,Erie,New York,NY,9058,-19854,1572,12723,14617,-2.1918745860013247,0.17354824464561713,1.4046147052329432,1.6137116361227644,0.2009966777408638
DuPage,IL,301600.0,267700,-33900.0,DuPage,Illinois,IL,3104,-13702,3251,12050,1505,-4.414304123711339,1.0473582474226804,3.88208762886598,0.4848582474226804,-0.11240053050397877
Fairfield,CT,392700.0,319500,-73200.0,Fairfield,Connecticut,CT,49572,-6416,17653,10309,28026,-0.12942790284838215,0.35610828693617363,0.2079601387880255,0.565359477124183,-0.186401833460657
Pinellas,FL,183500.0,186400,2900.0,Pinellas,Florida,FL,24469,4845,4314,3844,11466,0.19800563978912086,0.17630471208467854,0.15709673464383506,0.4685929134823654,0.01580381471389646
Bergen,NJ,484900.0,423300,-61600.0,Bergen,New Jersey,NJ,39064,-4193,4237,21901,17119,-0.10733667827155437,0.10846303501945526,0.5606440712676634,0.4382295719844358,-0.127036502371623
Marion,IN,114000.0,115100,1100.0,Marion,Indiana,IN,55944,-8986,35677,10956,18297,-0.16062491062491066,0.6377270127270127,0.19583869583869584,0.3270592020592021,0.009649122807017544
Wake,NC,227200.0,258000,30800.0,Wake,North Carolina,NC,169358,102692,38152,25035,3479,0.6063604907946479,0.22527427107074954,0.14782295492388906,0.0205422832107134,0.13556338028169015
